agent_id,o_zone_id,d_zone_id,path_id,o_node_id,to_node_id,agent_type,demand_period,    travel_time,distance,node_sequence,link_sequence,time_sequence
1,2,1,0,2,1,0,AM,4,0.416,7;2;1;8;,15;3;16;17;,0716:00;0717:00;0719:00;0720:00;
2,3,6,0,3,6,0,AM,6,2.082,9;3;1;5;6;10;,19;6;2;10;20;21;,0705:00;0706:00;0708:00;0709:00;0710:00;0711:00;
3,4,1,1,4,1,1,-,20,4.58,4;3;9;3;1;5;6;10;6;4;2;7;2;1;8;1;12;,22;9;18;19;6;2;10;20;21;12;8;14;15;3;16;17;23;,0702:00;0704:00;0705:00;0706:00;0708:00;0709:00;0710:00;0711:00;0712:00;0713:00;0715:00;0716:00;0717:00;0719:00;0720:00;0721:00;0722:00;
